Game,Move No,Player,Move,chess.com Classification,Played Move Classification,Played Move Standing,Played Move Evaluation,Evaluation (Before Move),Win %,Legal Moves (At Move),Game Phase,Material Advantage,Line 1 Eval,Win % (Player),Win % (Player)_scaled,Move Quality (Delta)
3,7,White,Bg5,inaccuracy,inaccuracy,2,-0.66,-0.1,41.8,33,Opening,0,-0.12,41.8,0.418,-0.56
3,7,Black,d6,good,inaccuracy,3,-0.24,-0.82,47.4,30,Opening,0,-0.74,52.6,0.526,0.58
3,8,White,Qb3,good,good,7,-0.58,-0.26,43.4,36,Opening,0,-0.15,43.4,0.434,-0.32
3,8,Black,Bf5,excellent,good,7,-0.33,-0.66,45.5,34,Opening,0,-0.66,54.5,0.545,0.33
3,9,White,a3,best,best,1,-0.34,-0.45,45.3,33,Opening,0,-0.34,45.3,0.45299999999999996,0.11
3,9,Black,Bxc3+,inaccuracy,inaccuracy,2,0.08,-0.47,51.7,42,Opening,0,-0.36,48.3,0.483,0.55
3,10,White,Qxc3,best,best,1,0.15,0.17,51.4,5,Opening,-3,0.15,51.4,0.514,-0.02
3,10,Black,Re8,excellent,good,3,0.23,0.14,53.1,39,Opening,0,0.16,46.9,0.469,0.09
3,11,White,e3,excellent,good,2,0.03,0.31,49.5,41,Opening,0,0.27,49.5,0.495,-0.28
3,11,Black,Qd7,mistake,mistake,11,1.5,-0.05,65.0,43,Opening,0,0,35.0,0.35,1.55
3,12,White,Bxf6,great,great,1,1.58,1.5,66.2,39,Opening,0,1.58,66.2,0.662,0.08
3,12,Black,gxf6,best,best,1,1.54,1.62,65.8,43,Middlegame,3,1.54,34.2,0.342,-0.08
3,13,White,Qxf6,best,best,1,1.52,1.58,64.9,36,Middlegame,0,1.52,64.9,0.649,-0.06
3,13,Black,Re6,excellent,best,1,1.59,1.49,64.7,39,Middlegame,1,1.59,35.3,0.353,0.1
3,14,White,Qg5+,inaccuracy,inaccuracy,3,1.05,1.47,59.8,40,Middlegame,1,1.47,59.8,0.598,-0.42
3,14,Black,Rg6,best,best,1,1.04,0.98,59.8,4,Middlegame,1,1.04,40.2,0.402,0.06
3,15,White,Qf4,excellent,excellent,2,0.9,0.98,59.7,36,Middlegame,1,0.9,59.7,0.597,-0.08
3,15,Black,Re8,mistake,mistake,11,2.78,0.97,77.8,43,Middlegame,1,0.93,22.200000000000003,0.22200000000000003,1.81
3,16,White,Nh4,great,best,1,2.68,2.78,77.6,36,Middlegame,1,2.68,77.6,0.7759999999999999,-0.1
3,16,Black,Rf6,mistake,blunder,11,4.81,2.76,92.0,47,Middlegame,1,2.93,8.0,0.08,2.05
3,17,White,Nxf5,miss,blunder,6,2.0,4.81,69.2,33,Middlegame,1,4.56,69.2,0.6920000000000001,-2.81
3,17,Black,Rxf5,excellent,excellent,2,2.16,1.92,71.7,35,Middlegame,4,2.12,28.299999999999997,0.283,0.24
3,18,White,Qg3+,excellent,best,1,2.02,2.17,68.6,32,Middlegame,1,2.02,68.6,0.6859999999999999,-0.15
3,18,Black,Kh8,good,good,2,2.09,1.86,70.6,3,Middlegame,1,2.05,29.400000000000006,0.29400000000000004,0.23
3,19,White,Bd3,excellent,good,2,2.06,2.06,66.8,31,Middlegame,1,2.09,66.8,0.6679999999999999,0.0
3,19,Black,Rf6,inaccuracy,mistake,5,3.24,1.68,82.5,41,Middlegame,1,1.75,17.5,0.175,1.56
3,20,White,O-O,miss,blunder,8,0.8,3.25,59.2,40,Middlegame,1,3.04,59.2,0.5920000000000001,-2.45
3,20,Black,Rg8,miss,blunder,11,3.73,0.92,87.3,39,Middlegame,1,0.74,12.700000000000003,0.12700000000000003,2.81
3,21,White,Qh4,best,best,1,3.72,3.73,83.6,37,Middlegame,1,3.72,83.6,0.836,-0.01
3,21,Black,h6,inaccuracy,blunder,10,6.62,3.36,96.5,42,Middlegame,1,3.75,3.5,0.035,3.26
3,22,White,Qxf6+,best,great,1,6.33,6.59,96.0,37,Middlegame,1,6.33,96.0,0.96,-0.26
3,22,Black,Rg7,forced,best,1,6.42,6.42,96.3,1,Middlegame,6,6.42,3.700000000000003,0.037000000000000026,0.0
3,23,White,Qxh6+,excellent,inaccuracy,6,6.64,6.5,94.7,44,Middlegame,6,6.66,94.7,0.9470000000000001,0.14
3,23,Black,Kg8,best,best,1,6.55,5.86,96.1,2,Middlegame,7,6.55,3.9000000000000057,0.039000000000000055,0.69
3,24,White,Rad1,good,inaccuracy,2,5.99,6.44,95.0,40,Middlegame,7,6.73,95.0,0.95,-0.45
3,24,Black,Qg4,best,best,1,5.94,5.99,91.0,29,Middlegame,7,5.94,9.0,0.09,-0.05
3,25,White,g3,best,best,1,5.45,4.42,94.0,36,Middlegame,7,5.45,94.0,0.94,1.03
3,25,Black,Ne5,best,great,1,5.33,5.61,92.8,35,Middlegame,7,5.33,7.200000000000003,0.07200000000000002,-0.28
3,26,White,Bc2,good,good,5,5.16,5.11,92.8,36,Middlegame,7,6,92.8,0.9279999999999999,0.05
3,26,Black,Nf3+,excellent,best,1,5.58,5.1,93.2,36,Middlegame,7,4.81,6.799999999999997,0.06799999999999998,0.48
3,27,White,Kg2,mistake,blunder,2,3.21,5.26,80.3,2,Middlegame,7,4.78,80.3,0.8029999999999999,-2.05
3,27,Black,Ng5,mistake,blunder,4,6.3,3.03,95.2,35,Middlegame,7,3.11,4.799999999999997,0.04799999999999997,3.27
3,28,White,Rd4,good,mistake,3,5.64,6.06,93.9,42,Middlegame,7,7.14,93.9,0.9390000000000001,-0.42
3,28,Black,Qf3+,best,best,1,5.79,5.55,93.7,31,Middlegame,7,5.79,6.299999999999997,0.06299999999999997,0.24
3,29,White,Kg1,forced,best,1,5.49,5.49,94.0,1,Middlegame,7,5.49,94.0,0.94,0.0
3,29,Black,Qe2,good,excellent,3,5.14,5.59,94.0,31,Middlegame,7,5.14,6.0,0.06,-0.45
3,30,White,Bd1,excellent,good,3,6.17,5.59,95.3,46,Middlegame,7,6.86,95.3,0.953,0.58
3,30,Black,Nf3+,good,mistake,2,7.84,6.11,98.6,30,Middlegame,7,6.25,1.4000000000000057,0.014000000000000058,1.73
3,31,White,Kg2,great,best,1,7.31,7.43,98.2,2,Middlegame,7,7.31,98.2,0.982,-0.12
3,31,Black,Ne1+,good,blunder,11,9.55,7.29,100.0,33,Middlegame,7,7.73,0.0,0.0,2.26
3,32,White,Rxe1,best,best,1,8.92,9.55,100.0,4,Middlegame,7,8.92,100.0,1.0,-0.63
3,32,Black,Qxe1,excellent,inaccuracy,2,9.58,8.86,100.0,28,Middlegame,10,9.68,0.0,0.0,0.72
3,33,White,Bf3,good,blunder,8,8.54,9.58,98.3,39,Middlegame,5,9.79,98.3,0.983,-1.04
3,33,Black,Qa5,good,blunder,4,10.53,7.34,100.0,29,Middlegame,5,6.22,0.0,0.0,3.19
3,34,White,Qh4,good,blunder,7,7.46,10.53,97.2,41,Middlegame,5,10.86,97.2,0.972,-3.07
3,34,Black,c5,inaccuracy,mistake,2,8.32,6.86,100.0,29,Middlegame,5,6.86,0.0,0.0,1.46
3,35,White,Rxd6,good,blunder,2,8.58,8.32,100.0,38,Middlegame,5,12.83,100.0,1.0,0.26
3,35,Black,Qc7,inaccuracy,blunder,8,13.0,8.53,100.0,22,Middlegame,6,9.51,0.0,0.0,4.47
3,36,White,Qd8+,good,blunder,4,8.11,13.0,100.0,45,Middlegame,6,#8,100.0,1.0,-4.89
3,36,Black,Qxd8,best,best,1,8.79,9.07,100.0,2,Middlegame,6,8.79,0.0,0.0,-0.28
3,37,White,Rxd8+,best,best,1,7.4,8.42,100.0,33,Middlegame,-3,7.4,100.0,1.0,-1.02
3,37,Black,Kh7,forced,best,1,8.44,8.44,99.9,1,Middlegame,6,8.44,0.09999999999999432,0.0009999999999999432,0.0
3,38,White,Bxb7,best,good,2,8.05,7.95,99.1,33,Middlegame,6,8.12,99.1,0.991,0.1
3,38,Black,f5,excellent,good,5,8.06,7.64,99.9,11,Middlegame,7,7.72,0.09999999999999432,0.0009999999999999432,0.42
3,39,White,Bd5,excellent,best,1,7.86,7.96,98.7,35,Middlegame,7,8.19,98.7,0.987,-0.1
3,39,Black,Kg6,excellent,inaccuracy,9,8.68,7.46,100.0,15,Middlegame,7,8.05,0.0,0.0,1.22
3,40,White,Rg8,excellent,excellent,2,8.15,8.19,100.0,31,Middlegame,7,8.5,100.0,1.0,-0.04
3,40,Black,Rxg8,best,best,1,8.81,8.15,100.0,9,Middlegame,7,8.81,0.0,0.0,0.66
3,41,White,Bxg8,best,best,1,8.3,8.02,100.0,22,Middlegame,2,8.3,100.0,1.0,0.28
3,41,Black,Kf6,excellent,good,2,8.91,8.49,100.0,8,Middlegame,7,8.75,0.0,0.0,0.42
3,42,White,Bd5,excellent,good,3,8.8,8.56,100.0,18,Middlegame,7,9.09,100.0,1.0,0.24
3,42,Black,Ke5,excellent,inaccuracy,7,11.33,8.29,100.0,8,Middlegame,7,9.42,0.0,0.0,3.04
3,43,White,b3,excellent,good,5,8.32,8.34,100.0,22,Middlegame,7,8.99,100.0,1.0,-0.02
3,43,Black,Kd6,excellent,best,1,9.16,8.32,100.0,8,Middlegame,7,8.59,0.0,0.0,0.84
3,44,White,Kf3,best,good,3,8.91,8.74,100.0,21,Middlegame,7,8.93,100.0,1.0,0.17
3,44,Black,Ke5,excellent,best,1,8.77,8.65,100.0,8,Middlegame,7,8.77,0.0,0.0,0.12
3,45,White,h4,best,good,4,9.48,8.63,100.0,16,Middlegame,7,9.48,100.0,1.0,0.85
3,45,Black,Kf6,good,inaccuracy,5,9.78,8.54,100.0,7,Middlegame,7,8.66,0.0,0.0,1.24
3,46,White,Kf4,best,best,1,9.78,8.85,100.0,17,Middlegame,7,10.77,100.0,1.0,0.93
3,46,Black,Kg6,best,best,1,10.81,9.74,100.0,5,Middlegame,7,10.81,0.0,0.0,1.07
3,47,White,Ke5,good,inaccuracy,5,9.43,9.68,100.0,20,Middlegame,7,12.05,100.0,1.0,-0.25
3,47,Black,Kh5,inaccuracy,mistake,7,10.0,9.32,100.0,8,Middlegame,7,10.83,0.0,0.0,0.68
3,48,White,Kxf5,best,best,1,10.0,11.46,100.0,21,Middlegame,7,#16,100.0,1.0,-1.46
3,48,Black,a5,best,blunder,3,12.41,10.0,100.0,4,Endgame,8,9.95,0.0,0.0,2.41
3,49,White,e4,excellent,mistake,2,10.0,10.0,100.0,21,Endgame,8,#11,100.0,1.0,0.0
3,49,Black,a4,excellent,blunder,2,10.0,10.0,100.0,3,Endgame,8,#12,0.0,0.0,0.0
3,50,White,bxa4,excellent,blunder,2,13.0,10.0,100.0,16,Endgame,8,#8,100.0,1.0,3.0
3,50,Black,Kh6,forced,best,1,11.0,11.0,100.0,2,Endgame,9,#10,0.0,0.0,0.0
3,51,White,a5,best,blunder,2,12.0,14.0,100.0,17,Endgame,9,#7,100.0,1.0,-2.0
4,1,White,g3,book,excellent,4,0.27,0.47,52.7,20,Opening,0,0.43,52.7,0.527,-0.2
4,1,Black,d6,good,excellent,7,0.42,0.27,53.8,20,Opening,0,0.26,46.2,0.462,0.15
4,2,White,Bg2,excellent,excellent,4,0.37,0.38,53.7,21,Opening,0,0.41,53.7,0.537,-0.01
4,2,Black,Nf6,good,best,1,0.35,0.37,54.9,27,Opening,0,0.32,45.1,0.451,-0.02
4,3,White,Nf3,good,excellent,3,0.35,0.49,54.5,27,Opening,0,0.5,54.5,0.545,-0.14
4,3,Black,c6,excellent,excellent,5,0.57,0.45,54.8,30,Opening,0,0.48,45.2,0.452,0.12
4,4,White,O-O,excellent,excellent,3,0.48,0.48,54.9,26,Opening,0,0.48,54.9,0.5489999999999999,0.0
4,4,Black,Qc7,good,good,11,0.8,0.49,58.0,31,Opening,0,0.5,42.0,0.42,0.31
4,5,White,c3,good,good,7,0.44,0.8,54.6,25,Opening,0,0.8,54.6,0.546,-0.36
4,5,Black,e5,best,excellent,2,0.46,0.46,54.6,32,Opening,0,0.46,45.4,0.45399999999999996,0.0
4,6,White,d4,excellent,good,3,0.19,0.46,51.5,26,Opening,0,0.45,51.5,0.515,-0.27
4,6,Black,Bg4,good,good,7,0.69,0.15,57.2,35,Opening,0,0.18,42.8,0.428,0.54
4,7,White,dxe5,inaccuracy,inaccuracy,4,0.05,0.72,50.5,33,Opening,0,0.77,50.5,0.505,-0.67
4,7,Black,dxe5,best,best,1,0.08,0.05,50.2,36,Opening,1,0.08,49.8,0.498,0.03
4,8,White,Bg5,inaccuracy,inaccuracy,11,-0.43,0.02,45.7,37,Opening,0,0.1,45.7,0.457,-0.45
4,8,Black,Nbd7,best,best,1,-0.45,-0.43,45.3,37,Opening,0,-0.45,54.7,0.547,-0.02
4,9,White,Qa4,good,good,11,-0.73,-0.47,42.7,38,Opening,0,-0.48,42.7,0.42700000000000005,-0.26
4,9,Black,Be7,good,good,5,-0.64,-0.73,44.6,39,Opening,0,-0.75,55.4,0.5539999999999999,0.09
4,10,White,Bxf6,good,good,6,-0.76,-0.54,42.2,43,Opening,0,-0.57,42.2,0.42200000000000004,-0.22
4,10,Black,Nxf6,best,best,1,-0.8,-0.78,42.6,43,Opening,3,-0.8,57.4,0.574,-0.02
4,11,White,Nbd2,best,excellent,2,-0.69,-0.74,42.9,37,Opening,0,-0.69,42.9,0.429,0.05
4,11,Black,O-O,best,best,1,-0.77,-0.71,43.3,44,Opening,0,-0.77,56.7,0.5670000000000001,-0.06
4,12,White,e3,excellent,good,9,-0.95,-0.67,40.8,43,Opening,0,-0.71,40.8,0.408,-0.28
4,12,Black,Rad8,good,excellent,3,-0.74,-0.92,42.1,43,Opening,0,-0.9,57.9,0.579,0.18
4,13,White,Ne4,inaccuracy,good,9,-0.88,-0.79,38.0,42,Opening,0,-0.71,38.0,0.38,-0.09
4,13,Black,Bxf3,mistake,inaccuracy,10,0.14,-1.2,50.4,44,Opening,0,-0.95,49.6,0.496,1.34
4,14,White,Bxf3,excellent,excellent,2,-0.07,0.04,49.6,36,Middlegame,-3,0.1,49.6,0.496,-0.11
4,14,Black,Nxe4,good,excellent,3,0.02,-0.04,50.6,38,Middlegame,0,-0.06,49.4,0.494,0.06
4,15,White,Bxe4,excellent,excellent,2,0.09,0.06,50.2,37,Middlegame,-3,0.18,50.2,0.502,0.03
4,15,Black,f5,excellent,excellent,7,0.14,0.02,51.2,37,Middlegame,0,0.07,48.8,0.488,0.12
4,16,White,Bc2,best,excellent,2,0.13,0.12,51.5,40,Middlegame,0,0.13,51.5,0.515,0.01
4,16,Black,Bd6,excellent,excellent,5,0.13,0.15,51.8,40,Middlegame,0,0.07,48.2,0.48200000000000004,-0.02
4,17,White,Qxa7,blunder,blunder,11,-3.14,0.18,18.6,40,Middlegame,0,0.24,18.6,0.18600000000000003,-3.32
4,17,Black,f4,miss,blunder,3,0.71,-3.14,56.4,30,Middlegame,1,-3.36,43.6,0.436,3.85
4,18,White,exf4,good,inaccuracy,2,0.26,0.64,51.8,41,Middlegame,1,0.59,51.8,0.518,-0.38
4,18,Black,exf4,best,best,1,0.23,0.18,52.2,32,Middlegame,2,0.23,47.8,0.478,0.05
4,19,White,Bb3+,good,good,5,0.0,0.22,50.0,40,Middlegame,1,0.19,50.0,0.5,-0.22
4,19,Black,Kh8,best,best,1,-0.07,0.0,49.7,3,Middlegame,1,-0.07,50.3,0.503,-0.07
4,20,White,Qa4,inaccuracy,mistake,6,-0.81,-0.03,44.8,37,Middlegame,1,-0.15,44.8,0.44799999999999995,-0.78
4,20,Black,fxg3,inaccuracy,best,1,-0.84,-0.52,45.1,31,Middlegame,1,-0.84,54.9,0.5489999999999999,-0.32
4,21,White,fxg3,best,best,1,-0.74,-0.49,47.6,39,Middlegame,0,-0.74,47.6,0.47600000000000003,-0.25
4,21,Black,Bc5+,good,mistake,4,0.36,-0.24,53.4,35,Middlegame,1,-0.63,46.6,0.466,0.6
4,22,White,Kh1,best,best,1,0.31,0.34,53.4,4,Middlegame,1,0.31,53.4,0.534,-0.03
4,22,Black,Qb6,mistake,inaccuracy,11,1.04,0.34,60.4,47,Middlegame,1,0.37,39.6,0.396,0.7
4,23,White,Qc4,miss,good,10,0.65,1.04,55.5,43,Middlegame,1,0.97,55.5,0.555,-0.39
4,23,Black,Bf2,best,best,1,0.63,0.55,54.9,39,Middlegame,1,0.63,45.1,0.451,0.08
4,24,White,Rad1,excellent,best,1,0.57,0.49,55.2,36,Middlegame,1,0.57,55.2,0.552,0.08
4,24,Black,Qe3,excellent,excellent,2,0.57,0.52,54.9,39,Middlegame,1,0.57,45.1,0.451,0.05
4,25,White,Rxd8,blunder,best,1,-20.0,0.49,0.0,39,Middlegame,1,0.53,0.0,0.0,-20.49
4,25,Black,Qf3#,best,best,1,-21.0,-20.0,0.0,33,Middlegame,6,,100.0,1.0,-1.0
5,1,White,d3,book,inaccuracy,10,-0.06,0.47,48.4,20,Opening,0,0.43,48.4,0.484,-0.53
5,1,Black,d5,book,excellent,3,-0.08,-0.16,49.6,20,Opening,0,-0.09,50.4,0.504,0.08
5,2,White,Nf3,book,best,1,-0.1,-0.04,48.6,27,Opening,0,-0.07,48.6,0.486,-0.06
5,2,Black,c5,excellent,good,4,0.05,-0.14,50.7,28,Opening,0,-0.12,49.3,0.493,0.19
5,3,White,c3,good,good,5,-0.36,0.07,46.5,30,Opening,0,0.14,46.5,0.465,-0.43
5,3,Black,Nc6,excellent,excellent,2,-0.27,-0.35,47.7,30,Opening,0,-0.39,52.3,0.523,0.08
5,4,White,Qc2,good,good,10,-0.78,-0.23,42.1,31,Opening,0,-0.23,42.1,0.42100000000000004,-0.55
5,4,Black,e5,best,excellent,2,-0.78,-0.79,43.0,33,Opening,0,-0.78,57.0,0.57,0.01
5,5,White,e4,best,excellent,4,-0.69,-0.7,42.4,32,Opening,0,-0.69,42.4,0.424,0.01
5,5,Black,d4,excellent,excellent,4,-0.58,-0.76,44.1,40,Opening,0,-0.75,55.9,0.5589999999999999,0.18
5,6,White,Be2,good,excellent,2,-0.62,-0.59,45.2,33,Opening,0,-0.62,45.2,0.452,-0.03
5,6,Black,f5,mistake,mistake,11,0.47,-0.48,54.7,39,Opening,0,-0.67,45.3,0.45299999999999996,0.95
5,7,White,Bg5,inaccuracy,inaccuracy,9,-0.19,0.47,48.1,36,Opening,0,0.58,48.1,0.48100000000000004,-0.66
5,7,Black,Be7,best,best,1,-0.25,-0.19,48.0,34,Opening,0,-0.25,52.0,0.52,-0.06
5,8,White,Bxe7,best,best,1,-0.22,-0.2,49.1,39,Opening,0,-0.22,49.1,0.491,-0.02
5,8,Black,Qxe7,good,excellent,2,0.0,-0.09,50.4,32,Opening,3,-0.26,49.6,0.496,0.09
5,9,White,Nbd2,excellent,good,2,0.06,0.04,48.4,32,Opening,0,0.16,48.4,0.484,0.02
5,9,Black,Nf6,excellent,good,3,-0.02,-0.16,52.1,35,Opening,0,-0.26,47.9,0.479,0.14
5,10,White,O-O,best,excellent,2,0.17,0.21,49.1,36,Opening,0,0.21,49.1,0.491,-0.04
5,10,Black,O-O,best,best,1,0.18,-0.09,50.2,39,Opening,0,0.18,49.8,0.498,0.27
5,11,White,Nc4,mistake,mistake,11,-1.24,0.02,37.6,34,Opening,0,0.03,37.6,0.376,-1.26
5,11,Black,b5,inaccuracy,inaccuracy,2,-0.8,-1.24,42.4,36,Opening,0,-1.41,57.6,0.5760000000000001,0.44
5,12,White,Ncd2,best,best,1,-0.51,-0.76,44.2,39,Opening,0,-0.51,44.2,0.442,0.25
5,12,Black,Bb7,miss,mistake,4,0.59,-0.58,55.9,39,Opening,0,-0.57,44.1,0.441,1.17
5,13,White,a4,inaccuracy,inaccuracy,3,0.08,0.59,51.7,34,Opening,0,0.65,51.7,0.517,-0.51
5,13,Black,a6,mistake,inaccuracy,5,0.96,0.17,59.6,42,Opening,0,0,40.4,0.40399999999999997,0.79
5,14,White,Ne1,miss,blunder,11,-1.52,0.96,34.8,35,Opening,0,1.06,34.8,0.348,-2.48
5,14,Black,Rac8,blunder,mistake,10,0.5,-1.52,55.0,42,Opening,0,-1.59,45.0,0.45,2.02
5,15,White,f4,miss,mistake,10,-1.44,0.5,35.6,32,Opening,0,0.5,35.6,0.35600000000000004,-1.94
5,15,Black,fxe4,best,best,1,-1.48,-1.44,33.6,40,Opening,0,-1.48,66.4,0.664,-0.04
5,16,White,dxe4,inaccuracy,inaccuracy,4,-2.44,-1.64,29.6,36,Opening,-1,-1.45,29.6,0.29600000000000004,-0.8
5,16,Black,exf4,miss,mistake,5,-0.81,-2.04,43.9,40,Opening,0,-2.31,56.1,0.561,1.23
5,17,White,Rxf4,miss,mistake,3,-2.24,-0.61,25.6,39,Middlegame,-1,-0.59,25.6,0.256,-1.63
5,17,Black,Qd6,good,excellent,2,-2.12,-2.44,29.3,42,Middlegame,0,-2.41,70.7,0.7070000000000001,0.32
5,18,White,Rh4,good,inaccuracy,4,-2.81,-2.07,22.5,46,Middlegame,0,-2.27,22.5,0.225,-0.74
5,18,Black,c4,best,best,1,-2.8,-2.75,23.0,45,Middlegame,0,-2.8,77.0,0.77,-0.05
5,19,White,Qd1,good,inaccuracy,8,-3.8,-2.7,12.7,42,Middlegame,0,-2.58,12.7,0.127,-1.1
